PLAYERPLAYER,ABAB,BBBB,SOSO,SBSB,CSCS,AVGAVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
373CarlC EverettEverettCF373???,4809,442,1021,107,54,0.271,0.084174443,0.194439154,0.030660827,0.664596273,Sheet1
348RandalR GrichukGrichukRF348???,4453,272,1183,27,19,0.251,0.057566138,0.25037037,0.00973545,0.586956522,Sheet1
348KevinK McReynoldsMcReynoldsLF348???,5423,522,707,93,32,0.265,0.087804878,0.118923465,0.021026072,0.744,Sheet1
353RicoR PetrocelliPetrocelliSS353???,5390,661,926,10,22,0.251,0.109238142,0.153032557,0.005288382,0.3125,Sheet1
353RobertoR AlomarAlomar2B353???,9073,1032,1140,474,114,0.3,0.10212766,0.112815438,0.058189015,0.806122449,Sheet1
353BradyB AndersonAndersonRF353???,6499,960,1190,315,100,0.256,0.12870358,0.159538812,0.055637485,0.759036145,Sheet1
353WallyW PostPostRF353???,4007,331,813,19,13,0.266,0.076302444,0.187413555,0.007376671,0.59375,Sheet1
357JoeyJ GalloGallo1B357???,2869,497,1292,33,10,0.194,0.147653001,0.383838384,0.012774807,0.76744186,Sheet1
357DevonD WhiteWhiteCF357???,7344,541,1526,346,98,0.263,0.068611287,0.193532023,0.056309448,0.779279279,Sheet1
357PhilP NevinNevin3B357???,4188,449,1019,18,5,0.27,0.096829847,0.219754151,0.004960104,0.782608696,Sheet1
357JasonJ ThompsonThompson1B357???,4802,816,862,8,7,0.261,0.145247419,0.153435386,0.002669989,0.533333333,Sheet1
361AlexA BregmanBregman3B361???,4483,615,700,43,15,0.274,0.120635543,0.137308749,0.011377011,0.74137931,Sheet1
361KirbyK PuckettPuckettCF361???,7244,450,965,134,76,0.318,0.058487133,0.125422407,0.027293995,0.638095238,Sheet1
361RichieR ZiskZiskRF361???,5144,533,910,8,15,0.287,0.093887617,0.160295931,0.004051436,0.347826087,Sheet1
364GusG BellBellCF364???,6478,470,636,30,31,0.281,0.067645366,0.091537133,0.008779505,0.491803279,Sheet1
364FelipeF AlouAlouRF364???,7339,423,706,107,67,0.286,0.054496264,0.090955939,0.022416903,0.614942529,Sheet1
364PeteP IncavigliaIncavigliaLF364???,4233,360,1277,33,26,0.246,0.078380144,0.278031788,0.012845635,0.559322034,Sheet1
368RicoR CartyCartyLF368???,5606,642,663,21,26,0.299,0.102752881,0.106113956,0.007522407,0.446808511,Sheet1
368Jos?J Cruz Jr.CruzCF368???,4724,658,1147,113,39,0.247,0.122259383,0.2131178,0.028242289,0.743421053,Sheet1
368WallyW JoynerJoyner1B368???,7127,833,825,60,39,0.289,0.104648241,0.103643216,0.012437186,0.606060606,Sheet1
371RichieR HebnerHebner3B371???,6144,687,741,38,40,0.276,0.100570927,0.108476065,0.011418533,0.487179487,Sheet1
371JorgeJ SolerSolerRF371???,3802,461,1162,12,5,0.241,0.108139808,0.272577997,0.003987802,0.705882353,Sheet1
373ToddT HundleyHundleyC373???,3769,453,988,14,11,0.234,0.107295121,0.234012316,0.005921364,0.56,Sheet1
373JhonnyJ PeraltaPeraltaSS373???,6599,606,1450,17,27,0.267,0.084108258,0.201249133,0.00610687,0.386363636,Sheet1
373CarlC EverettEverettCF373???,4809,442,1021,107,54,0.271,0.084174443,0.194439154,0.030660827,0.664596273,Sheet1
476RonR KittleKittleLF476???,2708,236,744,16,16,0.239,0.080163043,0.252717391,0.010869565,0.5,Sheet1
476YadierY MolinaMolinaC476???,7817,542,922,71,37,0.277,0.064840292,0.110300275,0.012920206,0.657407407,Sheet1
476MichaelM ConfortoConfortoLF476???,3745,501,1035,23,12,0.245,0.117993406,0.243758832,0.008243052,0.657142857,Sheet1
476DonD MoneyMoney3B476???,6214,600,865,80,51,0.261,0.088054006,0.126944526,0.019225125,0.610687023,Sheet1
480HidekiH MatsuiMatsuiLF480???,4442,547,689,13,9,0.282,0.109641211,0.138103828,0.004409701,0.590909091,Sheet1
481MaxM KeplerKeplerLF481???,4110,452,862,37,16,0.236,0.099079351,0.188952214,0.011617712,0.698113208,Sheet1
481BillB BucknerBuckner1B481???,9397,450,453,183,73,0.289,0.045699198,0.046003859,0.025997766,0.71484375,Sheet1
481JonathanJ SchoopSchoop2B481???,4319,195,1029,15,4,0.254,0.043198937,0.227957466,0.004209127,0.789473684,Sheet1
484JulioJ FrancoFrancoSS484???,8677,917,1341,281,107,0.298,0.095580571,0.139774859,0.040441943,0.724226804,Sheet1
484MarkM GraceGrace1B484???,8065,1075,642,70,48,0.303,0.11761488,0.0702407,0.012910284,0.593220339,Sheet1
484NateN ColbertColbert1B484???,3422,383,902,52,31,0.243,0.10065703,0.237056505,0.021813403,0.626506024,Sheet1
484WalkerW CooperCooperC484???,4702,309,357,18,1,0.285,0.061664338,0.071243265,0.003791658,0.947368421,Sheet1
488MickeyM VernonVernon1B488???,8731,955,869,137,90,0.286,0.098595912,0.089717117,0.023435887,0.603524229,Sheet1
488EddieE RobinsonRobinson1B488???,4282,521,359,10,12,0.268,0.10847387,0.074744951,0.004580471,0.454545455,Sheet1
488WillyW AdamesAdamesSS488???,3711,411,1129,58,24,0.245,0.099708879,0.273896167,0.019893256,0.707317073,Sheet1
491RichardR HidalgoHidalgoCF491???,3459,358,737,48,34,0.269,0.093790935,0.193083573,0.02148284,0.585365854,Sheet1
491MelvinM MoraMora3B491???,5422,520,953,93,55,0.277,0.087512622,0.160383709,0.024907439,0.628378378,Sheet1
491DmitriD YoungYoung1B491???,4762,407,871,25,22,0.292,0.078738634,0.168504546,0.009092668,0.531914894,Sheet1
491WillsonW ContrerasContreras1B491???,3654,415,1022,36,22,0.258,0.101990661,0.251167363,0.014254116,0.620689655,Sheet1
496Jim RayJ HartHart3B496???,3783,380,573,17,17,0.278,0.091280327,0.137641124,0.008167187,0.5,Sheet1
496KevinK MillarMillar1B496???,4688,564,838,7,9,0.274,0.107387662,0.159558264,0.003046458,0.4375,Sheet1
496JoeJ CroninCroninSS496???,7579,1059,700,87,71,0.301,0.122597824,0.081037277,0.018291271,0.550632911,Sheet1
496BobB ElliottElliott3B496???,7141,967,604,60,2,0.289,0.119264924,0.074494327,0.007646769,0.967741935,Sheet1
496TimT RainesRainesLF496???,8872,1330,966,808,146,0.294,0.130366595,0.094687316,0.093511076,0.846960168,Sheet1
894HeinieH ManushManushLF894???,7654,506,345,114,58,0.33,0.062009804,0.042279412,0.021078431,0.662790698,Sheet1
894JeffreyJ HammondsHammondsRF894???,3032,292,596,67,30,0.272,0.087845969,0.179302046,0.029181709,0.690721649,Sheet1
894RandyR WinnWinnCF894???,6186,526,1010,215,84,0.284,0.078367104,0.150476758,0.04454708,0.719063545,Sheet1
894RoyceR ClaytonClaytonSS894???,7379,565,1415,231,100,0.258,0.07112286,0.178121853,0.041666667,0.697885196,Sheet1
