PLAYERPLAYER,ABAB,BBBB,SOSO,SBSB,CSCS,AVGAVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
2270JordanJ WestburgWestburg3B2270???,907,53,219,11,6,0.267,0.055208333,0.228125,0.017708333,0.647058824,Sheet1
2270LuisL PoloniaPoloniaLF2270???,4840,369,543,321,145,0.293,0.070838933,0.104242657,0.089460549,0.688841202,Sheet1
2270DavidD BoteBote3B2270???,1065,115,324,11,6,0.234,0.097457627,0.274576271,0.01440678,0.647058824,Sheet1
2270BillB AlmonAlmonSS2270???,3330,250,636,128,60,0.254,0.069832402,0.177653631,0.052513966,0.680851064,Sheet1
2270MichaelM BournBournCF2270???,4784,445,1124,341,94,0.266,0.085102314,0.214955058,0.083189902,0.783908046,Sheet1
2270JoeJ GirardiGirardiC2270???,4127,279,607,44,31,0.267,0.063322742,0.137766682,0.017022242,0.586666667,Sheet1
2270LuisL SojoSojo2B2270???,2571,124,198,28,20,0.261,0.046011132,0.073469388,0.017810761,0.583333333,Sheet1
2270TedT UhlaenderUhlaenderCF2270???,2932,202,277,52,35,0.263,0.064454371,0.08838545,0.027760051,0.597701149,Sheet1
2270BobB FothergillFothergillLF2270???,3269,202,177,42,52,0.325,0.058196485,0.05099395,0.027081533,0.446808511,Sheet1
2270BumpB WillsWills2B2270???,3030,310,441,196,65,0.266,0.092814371,0.132035928,0.078143713,0.750957854,Sheet1
2270GeorgeG StricklandStricklandSS2270???,2824,361,453,12,10,0.224,0.113343799,0.142229199,0.006907378,0.545454545,Sheet1
2270DaveD McCartyMcCarty1B2270???,1493,126,367,9,9,0.242,0.077825818,0.226683138,0.011117974,0.5,Sheet1
2270FredF ValentineValentineOF2270???,1458,156,228,47,16,0.247,0.096654275,0.141263941,0.039033457,0.746031746,Sheet1
2270JohnnyJ BerardinoBerardino2B2270???,3028,284,268,27,29,0.249,0.085748792,0.080917874,0.016908213,0.482142857,Sheet1
2270CliffC PenningtonPenningtonSS2270???,2799,266,619,84,28,0.242,0.086786297,0.201957586,0.036541599,0.75,Sheet1
2270ArmandoA RiosRiosRF2270???,1021,115,206,14,10,0.269,0.101232394,0.181338028,0.021126761,0.583333333,Sheet1
2270JoseJ TrevinoTrevinoC2270???,1428,75,256,4,2,0.237,0.0499002,0.170326015,0.003992016,0.666666667,Sheet1
2270MartyM MarionMarionSS2270???,5506,470,537,35,2,0.263,0.078647925,0.089859438,0.006191432,0.945945946,Sheet1
2270VicV DavalilloDavalilloCF2270???,4017,212,422,125,58,0.279,0.050130054,0.099787184,0.043272641,0.683060109,Sheet1
2270FrankF MenechinoMenechino2B2270???,1257,200,279,3,10,0.24,0.13726836,0.191489362,0.008922443,0.230769231,Sheet1
2270BradyB ClarkClarkRF2270???,2015,208,252,48,33,0.277,0.093567251,0.113360324,0.036437247,0.592592593,Sheet1
2270LarryL StahlStahlOF2270???,1721,142,357,22,16,0.232,0.076221149,0.191626409,0.020397209,0.578947368,Sheet1
2270JordanJ WestburgWestburg3B2270???,907,53,219,11,6,0.267,0.055208333,0.228125,0.017708333,0.647058824,Sheet1
2270LuisL PoloniaPoloniaLF2270???,4840,369,543,321,145,0.293,0.070838933,0.104242657,0.089460549,0.688841202,Sheet1
2270DavidD BoteBote3B2270???,1065,115,324,11,6,0.234,0.097457627,0.274576271,0.01440678,0.647058824,Sheet1
2270BillB AlmonAlmonSS2270???,3330,250,636,128,60,0.254,0.069832402,0.177653631,0.052513966,0.680851064,Sheet1
2270MichaelM BournBournCF2270???,4784,445,1124,341,94,0.266,0.085102314,0.214955058,0.083189902,0.783908046,Sheet1
2270JoeJ GirardiGirardiC2270???,4127,279,607,44,31,0.267,0.063322742,0.137766682,0.017022242,0.586666667,Sheet1
2270LuisL SojoSojo2B2270???,2571,124,198,28,20,0.261,0.046011132,0.073469388,0.017810761,0.583333333,Sheet1
2270TedT UhlaenderUhlaenderCF2270???,2932,202,277,52,35,0.263,0.064454371,0.08838545,0.027760051,0.597701149,Sheet1
2270BobB FothergillFothergillLF2270???,3269,202,177,42,52,0.325,0.058196485,0.05099395,0.027081533,0.446808511,Sheet1
2310JamesJ WoodWoodLF2310???,789,110,274,29,14,0.261,0.122358176,0.304783092,0.047830923,0.674418605,Sheet1
2310TylerT SoderstromSoderstromLF2310???,792,81,217,7,2,0.246,0.092783505,0.248568156,0.010309278,0.777777778,Sheet1
2310WyattW LangfordLangfordLF2310???,918,107,245,37,9,0.251,0.104390244,0.23902439,0.044878049,0.804347826,Sheet1
2354RossR GloadGload1B2354???,1673,107,224,12,9,0.281,0.06011236,0.125842697,0.011797753,0.571428571,Sheet1
2354SamS RiceRiceRF2354???,9269,708,275,351,143,0.322,0.070963215,0.027563396,0.049513882,0.710526316,Sheet1
2354BobbyB RichardsonRichardson2B2354???,5386,262,243,73,48,0.266,0.046388102,0.043024079,0.021423513,0.603305785,Sheet1
2354VicV. HarrisHarrisX2354???,2510,258,0,29,0,0.302,0.093208092,0,0.010476879,1,Sheet1
2354LanceL JohnsonJohnsonCF2354???,5379,352,384,327,105,0.291,0.061420345,0.067004013,0.075379515,0.756944444,Sheet1
2354AustinA McHenryMcHenryLF2354???,1959,117,229,35,33,0.302,0.056358382,0.110308285,0.032755299,0.514705882,Sheet1
2354LeuryL Garc?aGarciaOF2354???,2217,109,550,64,17,0.253,0.046861565,0.236457438,0.034823732,0.790123457,Sheet1
2354ChrisC RichardRichard1B2354???,899,81,183,18,18,0.255,0.082653061,0.186734694,0.036734694,0.5,Sheet1
2354MikeM VailVailRF2354???,1604,81,317,3,17,0.279,0.048071217,0.188130564,0.011869436,0.15,Sheet1
2354KurtK StillwellStillwellSS2354???,3125,274,455,38,29,0.249,0.080611945,0.133862901,0.01971168,0.567164179,Sheet1
2354MarcM HillHillC2354???,1809,185,243,1,7,0.223,0.092778335,0.121865597,0.004012036,0.125,Sheet1
2354GlennG AdamsAdamsDH2354???,1617,111,183,6,10,0.28,0.064236111,0.105902778,0.009259259,0.375,Sheet1
2354WarrenW NewsonNewsonRF2354???,992,196,292,14,3,0.25,0.164983165,0.245791246,0.014309764,0.823529412,Sheet1
2354LuisL RivasRivas2B2354???,2101,126,316,81,25,0.257,0.056578357,0.141894926,0.047597665,0.764150943,Sheet1
2354TommyT HelmsHelms2B2354???,4997,231,301,33,40,0.269,0.044185157,0.057574598,0.013963275,0.452054795,Sheet1
2354WillW BensonBensonLF2354???,872,97,334,37,12,0.222,0.100103199,0.344685243,0.050567595,0.755102041,Sheet1
2354TedT SavageSavageLF2354???,1375,200,272,49,24,0.233,0.126984127,0.172698413,0.046349206,0.671232877,Sheet1
2354RayR MackMack2B2354???,2707,261,365,35,17,0.232,0.087938005,0.122978437,0.017520216,0.673076923,Sheet1
2354MikeM CubbageCubbage3B2354???,1951,215,233,6,15,0.258,0.099261311,0.10757156,0.009695291,0.285714286,Sheet1
2354ToddT CruzCruzSS2354???,1526,59,317,9,24,0.22,0.037223975,0.2,0.020820189,0.272727273,Sheet1
2354JeffJ BransonBranson3B2354???,1555,122,312,9,5,0.246,0.072748956,0.186046512,0.008348241,0.642857143,Sheet1
2354LuisL ArraezArraez1B2354???,3143,222,209,29,15,0.316,0.065973254,0.062109955,0.01307578,0.659090909,Sheet1
2354JohnJ RussellRussellC2354???,1087,84,355,3,3,0.225,0.071733561,0.303159693,0.005123826,0.5,Sheet1
2354ScottS FletcherFletcherSS2354???,5258,514,541,99,58,0.262,0.089050589,0.093728344,0.027200277,0.630573248,Sheet1
2354KenK WoodWoodRF2354???,995,102,141,1,7,0.224,0.092980857,0.128532361,0.007292616,0.125,Sheet1
2354BobbyB WallaceWallaceSS2354???,8618,774,79,201,2,0.268,0.082410562,0.008411414,0.02161414,0.990147783,Sheet1
2354HobieH LandrithLandrithC2354???,1929,253,188,5,12,0.233,0.115948671,0.086159487,0.007791017,0.294117647,Sheet1
2354ArchiA CianfroccoCianfrocco1B2354???,1276,80,360,16,3,0.241,0.05899705,0.265486726,0.014011799,0.842105263,Sheet1
2354BillyB McKinneyMcKinneyLF2354???,850,86,254,4,2,0.208,0.091880342,0.271367521,0.006410256,0.666666667,Sheet1
2354TonyT TarascoTarascoLF2354???,1006,106,171,39,10,0.24,0.095323741,0.153776978,0.044064748,0.795918367,Sheet1
2354JoshJ FieldsFields3B2354???,713,69,235,3,4,0.234,0.088235294,0.300511509,0.008951407,0.428571429,Sheet1
2354AustinA WellsWellsC2354???,756,74,193,6,3,0.218,0.089156627,0.23253012,0.010843373,0.666666667,Sheet1
2390NicoN HoernerHoerner2B2390???,2496,184,304,125,23,0.28,0.068656716,0.113432836,0.055223881,0.844594595,Sheet1
2390EdE OttOttC2390???,1792,138,254,14,16,0.259,0.071502591,0.131606218,0.015544041,0.466666667,Sheet1
2390AlbertA AlmoraAlmoraOF2390???,1491,86,290,7,6,0.259,0.054533925,0.183893469,0.0082435,0.538461538,Sheet1
2390JacobJ StallingsStallingsC2390???,1705,174,435,1,1,0.232,0.092602448,0.23150612,0.001064396,0.5,Sheet1
2390KyleK BlanksBlanksLF2390???,827,83,275,6,2,0.241,0.091208791,0.302197802,0.008791209,0.75,Sheet1
2390LastingsL MilledgeMilledgeCF2390???,1500,104,287,40,20,0.269,0.064837905,0.178927681,0.037406484,0.666666667,Sheet1
2390DonnieD MurphyMurphy3B2390???,838,64,264,7,4,0.212,0.070953437,0.292682927,0.012195122,0.636363636,Sheet1
2390KenK HuntHuntCF2390???,782,85,222,9,4,0.226,0.098039216,0.256055363,0.014994233,0.692307692,Sheet1
2498RockyR NelsonNelson1B2498???,1394,130,94,7,3,0.249,0.085301837,0.06167979,0.00656168,0.7,Sheet1
2498MattyM AlouAlouCF2498???,5789,311,377,156,80,0.307,0.050983607,0.061803279,0.038688525,0.661016949,Sheet1
2498NelsonN Vel?zquezVel?zquezRF2498???,552,52,177,7,2,0.212,0.086092715,0.293046358,0.014900662,0.777777778,Sheet1
2498ChicoC SalmonSalmon2B2498???,1667,89,233,46,24,0.249,0.050683371,0.132687927,0.039863326,0.657142857,Sheet1
2498DavidD GreenGreen1B2498???,1398,84,278,68,35,0.268,0.056680162,0.187584345,0.069500675,0.660194175,Sheet1
2498BillB SalkeldSalkeldC2498???,850,182,101,6,0,0.273,0.176356589,0.097868217,0.005813953,1,Sheet1
2498MattM DuffyDuffy3B2498???,2331,176,438,41,14,0.277,0.07020343,0.17471081,0.021938572,0.745454545,Sheet1
2498BobB SpeakeSpeakeOF2498???,761,80,158,8,11,0.223,0.095124851,0.187871581,0.022592152,0.421052632,Sheet1
2498ErikE KratzKratzC2498???,881,47,208,1,0,0.209,0.050646552,0.224137931,0.001077586,1,Sheet1
2498CottonC TierneyTierney2B2498???,2299,109,187,28,31,0.296,0.045265781,0.077657807,0.024501661,0.474576271,Sheet1
2498BrettB PhillipsPhillipsP2498???,854,95,376,39,6,0.187,0.100105374,0.396206533,0.047418335,0.866666667,Sheet1
2498CarlC WarwickWarwickOF2498???,1462,127,241,13,6,0.248,0.079924481,0.151667716,0.011957206,0.684210526,Sheet1
2498MannyM MotaMotaLF2498???,3779,289,320,50,42,0.304,0.071042281,0.078662734,0.022615536,0.543478261,Sheet1
2498LarryL BigbieBigbieLF2498???,1227,119,302,25,8,0.267,0.088410104,0.224368499,0.024517088,0.757575758,Sheet1
2498JeffJ LieferLiefer1B2498???,779,56,223,2,2,0.23,0.067065868,0.267065868,0.004790419,0.5,Sheet1
2498LewL FonsecaFonseca1B2498???,3404,186,199,64,36,0.316,0.051810585,0.055431755,0.027855153,0.64,Sheet1
2498LouL FinneyFinneyRF2498???,4631,329,186,39,45,0.287,0.066330645,0.0375,0.016935484,0.464285714,Sheet1
2498KenK BoswellBoswell2B2498???,2517,240,239,27,17,0.248,0.087051143,0.086688429,0.015959376,0.613636364,Sheet1
2498JoeJ LefebvreLefebvreRF2498???,1091,139,204,11,9,0.258,0.11300813,0.165853659,0.016260163,0.55,Sheet1
2498LeronL LeeLeeLF2498???,1617,133,315,19,14,0.25,0.076,0.18,0.018857143,0.575757576,Sheet1
2498DaveD EngleEngleC2498???,1643,120,190,5,5,0.262,0.068065797,0.107770845,0.00567215,0.5,Sheet1
2498RonaldR Guzm?nGuzm?nP2498???,743,73,243,3,2,0.225,0.089460784,0.297794118,0.006127451,0.6,Sheet1
2498AustinA RomineRomineC2498???,1352,69,366,4,1,0.23,0.048557354,0.257565095,0.003518649,0.8,Sheet1
2498RobR DuceyDuceyLF2498???,1279,166,346,22,17,0.242,0.114878893,0.239446367,0.026989619,0.564102564,Sheet1
2498BuckB RodgersRodgersC2498???,3033,234,409,17,27,0.232,0.071625344,0.125191307,0.013468013,0.386363636,Sheet1
2498NickN WilliamsWilliamsRF2498???,836,57,255,4,4,0.251,0.063829787,0.285554311,0.008958567,0.5,Sheet1
2498MikeM DiazDiaz1B2498???,683,71,128,1,2,0.247,0.094164456,0.169761273,0.00397878,0.333333333,Sheet1
2560RyanR HaniganHaniganC2560???,1959,255,290,1,1,0.251,0.115176152,0.130984643,0.000903342,0.5,Sheet1
2560CharlieC CulbersonCulberson3B2560???,1212,68,337,21,10,0.248,0.053125,0.26328125,0.02421875,0.677419355,Sheet1
2560EndyE ChavezChavezCF2560???,3149,180,356,106,42,0.27,0.054070291,0.106939021,0.044457795,0.716216216,Sheet1
2560AdamA EngelEngelCF2560???,1419,76,452,47,18,0.224,0.05083612,0.302341137,0.043478261,0.723076923,Sheet1
2560BobbyB WineWineSS2560???,3172,214,538,7,7,0.215,0.063201418,0.158889545,0.004134672,0.5,Sheet1
2560MikeM KingeryKingeryCF2560???,2034,191,248,45,28,0.268,0.085842697,0.111460674,0.032808989,0.616438356,Sheet1
2560CodyC RansomRansomSS2560???,752,88,274,6,3,0.213,0.104761905,0.326190476,0.010714286,0.666666667,Sheet1
2560VonV JoshuaJoshuaCF2560???,2234,108,338,55,40,0.273,0.046114432,0.144321093,0.040563621,0.578947368,Sheet1
2560JasonJ PhillipsPhillipsC2560???,1382,111,170,0,5,0.249,0.074346952,0.113864702,0.003348962,0,Sheet1
2560ChrisC JonesJonesRF2560???,1021,74,287,26,10,0.252,0.067579909,0.262100457,0.032876712,0.722222222,Sheet1
2560JamesJ OutmanOutmanCF2560???,700,92,275,18,4,0.221,0.116161616,0.347222222,0.027777778,0.818181818,Sheet1
2560RamonR SantiagoSantiagoSS2560???,2436,203,420,30,15,0.243,0.076923077,0.159151194,0.017051914,0.666666667,Sheet1
2560LenL MatuszekMatuszek1B2560???,820,88,168,8,10,0.234,0.0969163,0.185022026,0.019823789,0.444444444,Sheet1
2560DaveD RaderRaderC2560???,2405,245,180,8,4,0.257,0.09245283,0.067924528,0.004528302,0.666666667,Sheet1
2560SteveS BryeBryeCF2560???,1997,144,276,16,14,0.258,0.067258291,0.128911723,0.014012144,0.533333333,Sheet1
2560ByronB BrowneBrowneLF2560???,869,101,273,5,6,0.236,0.104123711,0.281443299,0.011340206,0.454545455,Sheet1
2560DannyD HeepHeepRF2560???,1961,220,242,12,14,0.257,0.10087116,0.110958276,0.011921137,0.461538462,Sheet1
2560WanderW FrancoFrancoSS2560???,1037,92,139,40,11,0.282,0.081488043,0.123117803,0.045172719,0.784313725,Sheet1
2560LuisL MatosMatosRF2560???,1605,108,297,72,24,0.255,0.063047285,0.173380035,0.056042032,0.75,Sheet1
2560FrankF BrowerBrowerRF2560???,1297,168,84,17,14,0.286,0.114675768,0.057337884,0.02116041,0.548387097,Sheet1
2560CalC NeemanNeemanC2560???,1002,79,221,1,0,0.224,0.073080481,0.204440333,0.000925069,1,Sheet1
2560JackJ BrohamerBrohamer2B2560???,2500,221,178,9,17,0.245,0.08122014,0.065417126,0.009555311,0.346153846,Sheet1
2560SammyS HaleHale3B2560???,2915,130,218,41,20,0.302,0.042692939,0.071592775,0.020032841,0.672131148,Sheet1
2560JerryJ HairstonHairstonLF2560???,1699,282,240,4,4,0.258,0.142352347,0.121150934,0.004038364,0.5,Sheet1
2560JorgeJ MateoMateoSS2560???,1285,73,366,105,20,0.222,0.053755523,0.269513991,0.092047128,0.84,Sheet1
2560PeteP MackaninMackanin2B2560???,1570,76,290,27,12,0.226,0.046172539,0.17618469,0.023693803,0.692307692,Sheet1
2560WaltonW CruiseCruiseLF2560???,2321,238,250,49,15,0.277,0.09300508,0.097694412,0.025009769,0.765625,Sheet1
2560DaricD BartonBarton1B2560???,1744,290,348,13,7,0.247,0.142576205,0.171091445,0.009832842,0.65,Sheet1
2560JimJ GosgerGosgerCF2560???,1815,217,316,25,18,0.226,0.106791339,0.155511811,0.021161417,0.581395349,Sheet1
2560EdE GoodsonGoodson1B2560???,1266,63,135,1,3,0.26,0.047404063,0.101580135,0.003009782,0.25,Sheet1
2560JoeyJ CoraCora2B2560???,3734,380,336,117,60,0.277,0.092367526,0.081672338,0.043023821,0.661016949,Sheet1
2560CyC PerkinsPerkinsC2560???,3604,301,221,18,34,0.259,0.077080666,0.05659411,0.013316261,0.346153846,Sheet1
2560BraggoB RothRothRF2560???,2831,335,389,189,41,0.284,0.10581175,0.122867972,0.072646873,0.82173913,Sheet1
2560AndyA FoxFoxSS2560???,1925,197,407,74,25,0.239,0.092836946,0.191800189,0.0466541,0.747474747,Sheet1
2560JefryJ MarteMarte1B2560???,659,52,156,4,3,0.222,0.073136428,0.219409283,0.009845288,0.571428571,Sheet1
2560GeronimoG PenaPena2B2560???,1010,112,255,54,22,0.262,0.099821747,0.227272727,0.067736185,0.710526316,Sheet1
2560TylerT MooreMooreLF2560???,788,50,234,3,0,0.228,0.059665871,0.279236277,0.003579952,1,Sheet1
2560ScottS KingeryKingery2B2560???,1067,69,330,26,8,0.228,0.060739437,0.290492958,0.029929577,0.764705882,Sheet1
2560TonyT EusebioEusebioC2560???,1739,182,324,1,5,0.275,0.094742322,0.168662155,0.003123373,0.166666667,Sheet1
2560MickeyM RoccoRocco1B2560???,1721,174,146,6,15,0.258,0.09182058,0.077044855,0.011081794,0.285714286,Sheet1
2560PatP ValaikaValaikaSS2560???,802,47,235,1,3,0.221,0.055359246,0.276796231,0.004711425,0.25,Sheet1
2560LouL SkizasSkizasOF2560???,725,50,37,8,3,0.27,0.064516129,0.047741935,0.014193548,0.727272727,Sheet1
2560DuffyD DyerDyerC2560???,1993,228,415,10,4,0.221,0.102656461,0.186852769,0.006303467,0.714285714,Sheet1
2560BipB RobertsRoberts2B2560???,4147,396,548,264,95,0.294,0.08716707,0.120625138,0.079022672,0.735376045,Sheet1
2560ChrisC ParmeleeParmelee1B2560???,917,79,239,1,5,0.248,0.079317269,0.239959839,0.006024096,0.166666667,Sheet1
2560JoshJ SmithSmithSS2560???,1351,142,306,25,8,0.238,0.095110516,0.204956463,0.022103148,0.757575758,Sheet1
2560RobR RefsnyderRefsnyderRF2560???,1299,160,343,22,9,0.255,0.109664154,0.235092529,0.02124743,0.709677419,Sheet1
2560BrettB BatyBaty3B2560???,858,75,242,8,0,0.226,0.080385852,0.259378349,0.008574491,1,Sheet1
2615DonD KollowayKolloway2B2615???,3993,189,251,76,54,0.271,0.045193687,0.06001913,0.031085605,0.584615385,Sheet1
2615GarrettG HampsonHampson2B2615???,1667,146,495,67,16,0.236,0.080529509,0.27302813,0.045780474,0.807228916,Sheet1
2615ScottS Van SlykeVan SlykeLF2615???,760,85,223,11,6,0.242,0.100591716,0.263905325,0.020118343,0.647058824,Sheet1
2615BillyB SullivanSullivanC2615???,2840,240,119,30,24,0.289,0.077922078,0.038636364,0.017532468,0.555555556,Sheet1
2615WillieW KammKamm3B2615???,5851,824,405,126,84,0.281,0.123445693,0.060674157,0.031460674,0.6,Sheet1
2615LarryL BiittnerBiittner1B2615???,3151,236,287,10,12,0.273,0.069678181,0.084735754,0.006495424,0.454545455,Sheet1
2615LuisL OlmoOlmoCF2615???,1629,88,128,33,1,0.281,0.051252184,0.074548631,0.01980198,0.970588235,Sheet1
2615CharlieC JamesJamesRF2615???,1406,48,260,7,7,0.255,0.03301238,0.178817056,0.009628611,0.5,Sheet1
2615ClintC FrazierFrazierRF2615???,810,102,269,12,4,0.235,0.111842105,0.29495614,0.01754386,0.75,Sheet1
2615MichaelM McKenryMcKenryC2615???,839,93,235,2,6,0.238,0.099785408,0.252145923,0.008583691,0.25,Sheet1
2667BobB SeedsSeedsLF2667???,1937,160,190,14,15,0.277,0.076299475,0.090605627,0.01382928,0.482758621,Sheet1
2667AkilA BaddooBaddooLF2667???,1016,120,307,43,13,0.224,0.105633803,0.270246479,0.049295775,0.767857143,Sheet1
2667JohnnyJ HodappHodapp2B2667???,2826,163,136,18,20,0.311,0.054533289,0.045500167,0.012713282,0.473684211,Sheet1
2667MyrilM HoagHoagCF2667???,3147,252,298,59,49,0.271,0.074139453,0.087672845,0.031774051,0.546296296,Sheet1
2667HershH MartinMartinCF2667???,2257,253,207,33,3,0.285,0.100796813,0.08247012,0.014342629,0.916666667,Sheet1
2667TomT HerrHerr2B2667???,5349,627,584,188,64,0.271,0.104919679,0.09772423,0.042168675,0.746031746,Sheet1
2667WayneW BelardiBelardi1B2667???,592,66,97,1,0,0.242,0.100303951,0.147416413,0.001519757,1,Sheet1
2667JeffJ TreadwayTreadway2B2667???,2119,140,184,14,13,0.281,0.061974325,0.08145197,0.011952191,0.518518519,Sheet1
2667EdE. StoneStoneX2667???,1470,183,2,22,1,0.312,0.110707804,0.001209921,0.013914096,0.956521739,Sheet1
2667RabbitR MaranvilleMaranvilleSS2667???,10078,839,756,291,93,0.258,0.076852615,0.069249794,0.035174498,0.7578125,Sheet1
2667OzzieO GuillenGuillenSS2667???,6686,239,511,169,108,0.264,0.034512635,0.073790614,0.04,0.610108303,Sheet1
2667DamonD HollinsHollinsRF2667???,712,42,134,11,5,0.242,0.055702918,0.177718833,0.021220159,0.6875,Sheet1
2667BillyB GrabarkewitzGrabarkewitz3B2667???,1161,202,321,33,17,0.236,0.148202494,0.235509905,0.036683786,0.66,Sheet1
2667MikeM RyanRyanC2667???,1920,152,370,4,4,0.193,0.073359073,0.178571429,0.003861004,0.5,Sheet1
2667NolanN JonesJonesRF2667???,1003,134,339,32,11,0.249,0.117854002,0.298153034,0.037818821,0.744186047,Sheet1
2667SkipS SchumakerSchumaker2B2667???,3252,280,476,26,17,0.278,0.079275198,0.134767837,0.012174405,0.604651163,Sheet1
2667ChrisC ColabelloColabello1B2667???,727,58,229,2,3,0.257,0.07388535,0.291719745,0.006369427,0.4,Sheet1
2667AlekA ThomasThomasCF2667???,1210,65,279,23,8,0.233,0.050980392,0.218823529,0.024313725,0.741935484,Sheet1
2667OzzieO SmithSmithSS2667???,9396,1072,589,580,148,0.262,0.102407337,0.056266718,0.069545281,0.796703297,Sheet1
2667LewisL BrinsonBrinsonCF2667???,1071,58,327,10,3,0.198,0.051372896,0.289636847,0.011514615,0.769230769,Sheet1
2667BenB RiceRice1B2667???,517,66,131,3,3,0.221,0.113207547,0.224699828,0.010291595,0.5,Sheet1
2727GeorgeG VukovichVukovichOF2727???,1602,127,229,9,19,0.268,0.073452863,0.132446501,0.016194332,0.321428571,Sheet1
2727ChrisC BandoBandoC2727???,1284,138,197,1,5,0.227,0.097046414,0.138537271,0.004219409,0.166666667,Sheet1
2727BenB PetrickPetrickC2727???,669,78,177,5,6,0.257,0.104417671,0.236947791,0.014725569,0.454545455,Sheet1
2727JerryJ McNertneyMcNertneyC2727???,1423,119,199,3,5,0.237,0.077172503,0.129053178,0.005188067,0.375,Sheet1
2727TracyT JonesJonesLF2727???,1303,100,140,62,19,0.273,0.071275837,0.099786172,0.057733428,0.765432099,Sheet1
2727BobB KearneyKearneyC2727???,1356,67,235,9,12,0.233,0.047083626,0.165144062,0.014757554,0.428571429,Sheet1
2727FredF LewisLewisLF2727???,1562,170,390,53,23,0.266,0.098152425,0.22517321,0.043879908,0.697368421,Sheet1
2727RubeR OldringOldringOF2727???,4690,206,125,197,22,0.27,0.042075163,0.025531046,0.044730392,0.899543379,Sheet1
2727KurtK BevacquaBevacqua3B2727???,2117,221,329,12,20,0.236,0.094525235,0.140718563,0.013686912,0.375,Sheet1
2727RenoR BertoiaBertoia3B2727???,1745,142,252,16,15,0.244,0.075251722,0.13354531,0.016428193,0.516129032,Sheet1
2727KennyK WilliamsWilliamsCF2727???,1154,56,290,49,25,0.218,0.046280992,0.239669421,0.061157025,0.662162162,Sheet1
2727JodyJ ReedReed2B2727???,4554,542,407,40,44,0.27,0.106357928,0.079866562,0.016483516,0.476190476,Sheet1
2727MattM McLainMcLain2B2727???,788,75,246,30,7,0.253,0.086906141,0.285052144,0.042873696,0.810810811,Sheet1
2727GuillermoG HerediaHerediaLF2727???,1388,130,313,7,12,0.231,0.085638999,0.206192358,0.012516469,0.368421053,Sheet1
2727JoeJ NolanNolanC2727???,1454,164,183,7,8,0.263,0.101359703,0.113102596,0.009270705,0.466666667,Sheet1
2727RussR NixonNixonC2727???,2504,154,279,0,7,0.268,0.057938299,0.10496614,0.002633559,0,Sheet1
2727LennyL RandleRandle3B2727???,3950,372,505,156,112,0.257,0.086071263,0.116844054,0.062008329,0.582089552,Sheet1
2727RichardR HoblitzellHoblitzell1B2727???,4706,407,256,173,26,0.278,0.079601017,0.050068453,0.038920399,0.869346734,Sheet1
2727MikeM FontenotFontenot2B2727???,1413,140,289,17,11,0.265,0.0901481,0.186091436,0.01802962,0.607142857,Sheet1
2727EdouardE JulienJulien2B2727???,740,112,275,9,2,0.227,0.131455399,0.322769953,0.012910798,0.818181818,Sheet1
2727MikeM MitchellMitchellRF2727???,4095,368,216,202,7,0.278,0.082455747,0.048397939,0.046829487,0.966507177,Sheet1
2727ClydeC BarnhartBarnhartLF2727???,2673,265,149,35,21,0.295,0.090197413,0.050714772,0.019060585,0.625,Sheet1
2727HoraceH ClarkeClarke2B2727???,4813,365,362,151,58,0.256,0.070490537,0.069911163,0.040363075,0.722488038,Sheet1
2727SibbyS SistiSisti2B2727???,2999,283,440,30,5,0.244,0.08622791,0.134064595,0.010664229,0.857142857,Sheet1
2727TonyT BoeckelBoeckel3B2727???,2880,237,218,90,46,0.282,0.076034649,0.069939044,0.043631697,0.661764706,Sheet1
2727RalphR LaCockLaCock1B2727???,1729,182,171,8,8,0.257,0.095238095,0.089481947,0.00837258,0.5,Sheet1
2727KenK HarveyHarvey1B2727???,998,60,200,3,5,0.274,0.056710775,0.189035917,0.007561437,0.375,Sheet1
2727MikeM CarpCarp1B2727???,887,90,243,2,3,0.254,0.092118731,0.248720573,0.005117707,0.4,Sheet1
2727NickN KurtzKurtz1B2727???,329,51,114,2,1,0.307,0.134210526,0.3,0.007894737,0.666666667,Sheet1
2787TimoT PerezPerezCF2787???,1671,92,159,23,23,0.269,0.052183778,0.090187181,0.026091889,0.5,Sheet1
2787GeneG RichardsRichardsLF2787???,3549,356,436,247,89,0.29,0.091165173,0.111651729,0.086043534,0.735119048,Sheet1
2787JoeJ VitielloVitiello1B2787???,693,80,165,2,0,0.248,0.103492885,0.213454075,0.002587322,1,Sheet1
2787EricE OwensOwensRF2787???,2353,182,284,126,48,0.264,0.071794872,0.112031558,0.068639053,0.724137931,Sheet1
2787KyleK LewisLewisOF2787???,514,61,177,7,1,0.235,0.106086957,0.307826087,0.013913043,0.875,Sheet1
2787MannyM JimenezJimenezLF2787???,1003,75,97,0,2,0.272,0.069573284,0.089981447,0.001855288,0,Sheet1
2787HalH JeffcoatJeffcoatP2787???,1963,114,289,49,7,0.248,0.054886856,0.139142995,0.026961964,0.875,Sheet1
2787EddieE MayoMayo2B2787???,3013,257,175,29,38,0.252,0.078593272,0.05351682,0.020489297,0.432835821,Sheet1
