PLAYERPLAYER,G,AB,R ,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,,,,
2615JackJ HannahanHannahan3B2615???,614,1650,167,381,93,5,29,175,193,440,6,4,0.231,0.314,0.346,0.66,0.104720564,0.238741183,0.00542593597,0.6
2615KenK OberkfellOberkfell3B2615???,1602,4874,558,1354,237,44,29,446,546,356,62,47,0.278,0.351,0.362,0.713,0.100738007,0.0656826568,0.0201107011,0.568807339
2615DibD WilliamsWilliams2B2615???,476,1574,198,421,74,12,29,201,133,140,7,3,0.267,0.327,0.385,0.712,0.0779144698,0.0820152314,0.00585823081,0.7
2615SnuffyS StirnweissStirnweiss2B2615???,1028,3695,604,989,157,68,29,281,541,447,134,55,0.268,0.362,0.371,0.733,0.127714825,0.105524079,0.0446175637,0.708994709
2615JohnJ HummelHummel2B2615???,1158,3906,421,991,128,84,29,394,346,269,117,1,0.254,0.316,0.352,0.668,0.0813734713,0.0632643462,0.0277516463,0.991525424
2615PaulP HouseholderHouseholderRF2615???,466,1326,146,313,60,11,29,144,126,250,36,29,0.236,0.304,0.363,0.667,0.0867768595,0.172176309,0.0447658402,0.553846154
2615AlexA PresleyPresleyLF2615???,450,1401,157,369,50,19,29,111,81,282,30,18,0.263,0.306,0.388,0.694,0.0546558704,0.190283401,0.032388664,0.625
2615EdwardE OlivaresOlivaresOF2615???,285,886,116,225,39,5,29,96,57,181,16,12,0.254,0.306,0.407,0.713,0.0604453871,0.191940615,0.0296924708,0.571428571
2615ReyR QuinonesQuinonesSS2615???,451,1533,173,373,75,6,29,159,89,240,5,11,0.243,0.287,0.357,0.644,0.0548705302,0.147965475,0.00986436498,0.3125
2615RaimelR TapiaTapiaRF2615???,631,1879,261,514,95,16,29,201,120,383,63,17,0.274,0.318,0.387,0.705,0.060030015,0.191595798,0.04002001,0.7875
2615JimJ MarshallMarshall1B2615???,411,852,111,206,24,7,29,106,101,139,5,4,0.242,0.32,0.388,0.708,0.105981112,0.145855194,0.00944386149,0.555555556
2615MattM MurtonMurtonLF2615???,346,952,134,272,46,5,29,112,93,149,10,3,0.286,0.352,0.436,0.788,0.0889952153,0.142583732,0.0124401914,0.769230769
2615DavisD SchneiderSchneiderLF2615???,230,652,95,142,36,2,29,91,92,232,9,1,0.218,0.322,0.413,0.735,0.123655914,0.311827957,0.0134408602,0.9
2615ClarenceC. SmithSmithX2615???,582,2105,371,676,90,52,29,379,117,,89,--,0.321,0.357,0.455,0.812,0.0526552655,0,#VALUE!,#VALUE!
2615RamonR MartinezMartinezSS2615???,798,1952,223,512,98,10,29,242,170,267,10,7,0.262,0.321,0.367,0.688,0.0801131008,0.125824694,0.00801131008,0.588235294
2615BubblesB HargraveHargraveC2615???,853,2533,314,786,155,58,29,376,217,165,29,16,0.31,0.372,0.452,0.824,0.0789090909,0.06,0.0163636364,0.644444444
2615EddieE StankyStanky2B2615???,1259,4301,812,1154,185,35,29,364,996,374,48,5,0.268,0.41,0.348,0.758,0.188030961,0.0706060034,0.0100056636,0.905660377
2615GregG BrileyBrileyLF2615???,598,1518,172,384,75,9,29,135,124,260,65,25,0.253,0.31,0.372,0.682,0.0755176614,0.158343484,0.0548112058,0.722222222
2615DannyD GreenGreenRF2615???,924,3484,552,1021,124,65,29,423,315,,192,--,0.293,0.359,0.391,0.75,0.082916557,0,#VALUE!,#VALUE!
2615RichieR AshburnAshburnCF2615???,2189,8365,1322,2574,317,109,29,586,1198,571,234,92,0.308,0.396,0.382,0.778,0.125274495,0.0597092962,0.0340897208,0.717791411
2615JonJ SingletonSingleton1B2615???,272,812,105,160,31,1,29,104,120,286,3,3,0.197,0.299,0.345,0.644,0.128755365,0.306866953,0.00643776824,0.5
2615JoeJ TiptonTiptonC2615???,417,1117,116,264,36,5,29,125,186,142,3,3,0.236,0.351,0.355,0.706,0.142747506,0.108979279,0.00460475825,0.5
2615RipR RussellRussell1B2615???,425,1402,133,344,52,8,29,192,83,142,4,1,0.245,0.289,0.356,0.645,0.0558922559,0.0956228956,0.00336700337,0.8
2615VicV CorrellCorrellC2615???,410,1132,124,259,60,4,29,125,128,220,2,8,0.229,0.31,0.366,0.676,0.101587302,0.174603175,0.00793650794,0.2
2615JimmyJ WasdellWasdellLF2615???,888,2866,339,782,109,34,29,341,243,165,29,4,0.273,0.332,0.365,0.697,0.0781601801,0.0530717272,0.0106143454,0.878787879
2615JackJ HannahanHannahan3B2615???,614,1650,167,381,93,5,29,175,193,440,6,4,0.231,0.314,0.346,0.66,0.104720564,0.238741183,0.00542593597,0.6
2667BobB SeedsSeedsLF2667???,615,1937,268,537,77,21,28,233,160,190,14,15,0.277,0.336,0.382,0.718,0.0762994754,0.0906056271,0.0138292799,0.482758621
2667AkilA BaddooBaddooLF2667???,347,1016,137,228,39,12,28,104,120,307,43,13,0.224,0.305,0.369,0.674,0.105633803,0.270246479,0.0492957746,0.767857143
2667EdE StevensStevens1B2667???,375,1220,134,308,59,17,28,193,121,151,7,--,0.252,0.322,0.398,0.72,0.0902311708,0.112602535,#VALUE!,#VALUE!
2667LewL RiggsRiggs3B2667???,760,2477,298,650,110,43,28,271,181,140,22,--,0.262,0.317,0.375,0.692,0.068096313,0.0526711813,#VALUE!,#VALUE!
2667JohnnyJ HodappHodapp2B2667???,791,2826,378,880,169,34,28,429,163,136,18,20,0.311,0.35,0.425,0.775,0.0545332887,0.0455001673,0.012713282,0.473684211
2667MyrilM HoagHoagCF2667???,1021,3147,384,854,141,33,28,401,252,298,59,49,0.271,0.328,0.364,0.692,0.0741394528,0.087672845,0.0317740512,0.546296296
2667HershH MartinMartinCF2667???,607,2257,331,643,135,29,28,215,253,207,33,3,0.285,0.359,0.408,0.767,0.100796813,0.0824701195,0.0143426295,0.916666667
2667TomT HerrHerr2B2667???,1514,5349,676,1450,254,41,28,574,627,584,188,64,0.271,0.347,0.35,0.697,0.104919679,0.0977242303,0.0421686747,0.746031746
2667WayneW BelardiBelardi1B2667???,263,592,71,143,13,5,28,74,66,97,1,0,0.242,0.33,0.422,0.752,0.100303951,0.147416413,0.00151975684,1
2667JeffJ TreadwayTreadway2B2667???,762,2119,244,596,103,14,28,208,140,184,14,13,0.281,0.326,0.383,0.709,0.0619743249,0.0814519699,0.0119521912,0.518518519
2667EdE. StoneStoneX2667???,411,1470,275,458,69,36,28,259,183,2,22,1,0.312,0.39,0.465,0.855,0.110707804,0.00120992136,0.0139140956,0.956521739
2667RabbitR MaranvilleMaranvilleSS2667???,2670,10078,1255,2605,380,177,28,884,839,756,291,93,0.258,0.318,0.34,0.658,0.0768526152,0.0692497939,0.0351744985,0.7578125
2667OzzieO GuillenGuillenSS2667???,1993,6686,773,1764,275,69,28,619,239,511,169,108,0.264,0.287,0.338,0.625,0.0345126354,0.0737906137,0.04,0.610108303
2667DamonD HollinsHollinsRF2667???,256,712,85,172,39,1,28,86,42,134,11,5,0.242,0.284,0.417,0.701,0.0557029178,0.177718833,0.0212201592,0.6875
2667BillyB GrabarkewitzGrabarkewitz3B2667???,466,1161,189,274,41,12,28,141,202,321,33,17,0.236,0.351,0.364,0.715,0.148202494,0.235509905,0.0366837858,0.66
2667BillyB AshleyAshleyLF2667???,281,618,56,144,23,1,28,84,63,236,0,0,0.233,0.307,0.409,0.716,0.0925110132,0.346549192,0,#DIV/0!
2667MikeM RyanRyanC2667???,636,1920,146,370,60,12,28,161,152,370,4,4,0.193,0.252,0.28,0.532,0.0733590734,0.178571429,0.00386100386,0.5
2667NolanN JonesJonesRF2667???,328,1003,126,250,51,7,28,132,134,339,32,11,0.249,0.341,0.398,0.739,0.117854002,0.298153034,0.0378188215,0.744186047
2667SkipS SchumakerSchumaker2B2667???,1149,3252,416,905,169,13,28,284,280,476,26,17,0.278,0.337,0.364,0.701,0.0792751982,0.134767837,0.0121744054,0.604651163
2667ChrisC ColabelloColabello1B2667???,225,727,86,187,35,1,28,111,58,229,2,3,0.257,0.317,0.424,0.741,0.0738853503,0.291719745,0.00636942675,0.4
2667AlekA ThomasThomasCF2667???,392,1210,153,282,55,10,28,128,65,279,23,8,0.233,0.277,0.364,0.641,0.0509803922,0.218823529,0.0243137255,0.741935484
2667JoeJ MulveyMulvey3B2667???,987,4063,598,1059,157,71,28,532,134,257,147,--,0.261,0.287,0.355,0.642,0.0319275673,0.0612342149,#VALUE!,#VALUE!
2667PeteP CoscarartCoscarart2B2667???,864,2992,399,728,129,22,28,269,295,361,34,--,0.243,0.314,0.329,0.643,0.0897474901,0.10982659,#VALUE!,#VALUE!
2667OzzieO SmithSmithSS2667???,2573,9396,1257,2460,402,69,28,793,1072,589,580,148,0.262,0.337,0.328,0.665,0.102407337,0.0562667176,0.0695452809,0.796703297
2667LewisL BrinsonBrinsonCF2667???,357,1071,91,212,41,7,28,109,58,327,10,3,0.198,0.246,0.328,0.574,0.0513728964,0.289636847,0.0115146147,0.769230769
2667JohnJ McDonaldMcDonaldSS2667???,1100,2434,276,568,105,14,28,210,118,379,34,19,0.233,0.273,0.323,0.596,0.0462382445,0.148510972,0.0207680251,0.641509434
2667JackJ RoweRoweSS2667???,1044,4386,764,1256,202,88,28,644,224,177,59,--,0.286,0.323,0.392,0.715,0.0485900217,0.0383947939,#VALUE!,#VALUE!
2667JackJ RothrockRothrockRF2667???,1014,3350,498,924,162,35,28,327,299,312,75,33,0.276,0.336,0.37,0.706,0.0819402576,0.0855028775,0.0295971499,0.694444444
2667JerryJ. BenjaminBenjaminX2667???,775,2957,629,885,108,41,28,357,304,1,134,0,0.299,0.368,0.392,0.76,0.0932229377,0.0003066544,0.0410916897,1
2667AdamA ComoroskyComoroskyLF2667???,813,2787,404,795,134,51,28,417,214,158,57,--,0.285,0.339,0.4,0.739,0.0713095635,0.052649117,#VALUE!,#VALUE!
2667ScottS LeiusLeius3B2667???,557,1536,214,375,63,10,28,172,161,236,16,15,0.244,0.316,0.353,0.669,0.0948733058,0.139068945,0.0182675309,0.516129032
2667BillyB MoranMoran2B2667???,635,2076,242,545,88,10,28,202,133,218,10,8,0.263,0.308,0.355,0.663,0.060208239,0.0986871888,0.00814848348,0.555555556
2667DannyD WaltonWaltonLF2667???,297,779,69,174,27,4,28,107,88,240,4,3,0.223,0.309,0.376,0.685,0.101499423,0.276816609,0.00807381776,0.571428571
2667RickR FerrellFerrellC2667???,1884,6028,687,1692,324,45,28,734,931,277,29,35,0.281,0.378,0.363,0.741,0.13378359,0.0398045696,0.00919672367,0.453125
2667VinceV ColemanColemanLF2667???,1371,5406,849,1425,176,89,28,346,477,960,752,177,0.264,0.324,0.345,0.669,0.0810810811,0.16318205,0.15791263,0.809472551
2667KevinK NewmanNewman3B2667???,673,2172,243,562,102,12,28,210,120,300,47,15,0.259,0.3,0.355,0.655,0.0523560209,0.130890052,0.0270506108,0.758064516
2667WalterW. CannadyCannadyX2667???,489,1753,321,558,98,28,28,342,142,,64,--,0.318,0.371,0.454,0.825,0.0749340369,0,#VALUE!,#VALUE!
2667JesusJ MonteroMonteroDH2667???,226,806,73,204,31,1,28,104,48,172,0,3,0.253,0.295,0.398,0.693,0.056206089,0.201405152,0.00351288056,0
2667AlbieA PearsonPearsonCF2667???,988,3077,485,831,130,24,28,214,477,195,77,33,0.27,0.369,0.355,0.724,0.134214969,0.0548677546,0.0309510411,0.7
2667RickR MillerMillerCF2667???,1482,3887,552,1046,161,35,28,369,454,583,78,65,0.269,0.346,0.35,0.696,0.104584197,0.134300852,0.0329417185,0.545454545
2667CocoC LaboyLaboy3B2667???,420,1247,108,291,62,2,28,166,97,220,0,5,0.233,0.289,0.354,0.643,0.072172619,0.163690476,0.0037202381,0
2667LuisL RiveraRiveraSS2667???,781,2215,249,516,114,12,28,209,171,443,20,22,0.233,0.291,0.333,0.624,0.0716680637,0.185666387,0.0176026823,0.476190476
2667MattM WalbeckWalbeckC2667???,682,2109,215,492,79,5,28,208,133,343,13,12,0.233,0.28,0.315,0.595,0.0593220339,0.152988403,0.0111507583,0.52
2667GaryG DisarcinaDisarcinaSS2667???,1086,3744,444,966,186,20,28,355,154,306,47,44,0.258,0.292,0.341,0.633,0.0395074397,0.0785017958,0.0233453053,0.516483516
2667JimmyJ RippleRippleRF2667???,554,1809,241,510,92,14,28,251,156,89,7,0,0.282,0.343,0.395,0.738,0.079389313,0.0452926209,0.00356234097,1
2667MikeM DiFeliceDiFeliceC2667???,550,1558,145,368,83,9,28,167,101,334,3,2,0.236,0.288,0.355,0.643,0.0608800482,0.2013261,0.00301386377,0.6
2667BriceB TurangTurang2B2667???,419,1440,199,366,57,7,28,158,137,316,98,18,0.254,0.319,0.362,0.681,0.086873811,0.200380469,0.0735573874,0.844827586
2667AndyA Ib??ezIb??ez3B2667???,394,1086,137,278,58,5,28,128,70,207,9,4,0.256,0.306,0.396,0.702,0.0605536332,0.179065744,0.0112456747,0.692307692
2667GeraldoG PerdomoPerdomoSS2667???,533,1690,277,425,81,13,28,211,237,319,57,12,0.251,0.347,0.364,0.711,0.122989102,0.165542294,0.0358069538,0.826086957
2667KodyK ClemensClemens2B2667???,243,627,78,128,30,4,28,87,43,168,2,1,0.204,0.26,0.399,0.659,0.0641791045,0.250746269,0.00447761194,0.666666667
2667BenB RiceRice1B2667???,161,517,77,114,27,3,28,71,66,131,3,3,0.221,0.317,0.447,0.764,0.113207547,0.224699828,0.0102915952,0.5
2727GeorgeG VukovichVukovichOF2727???,628,1602,164,430,76,10,27,203,127,229,9,19,0.268,0.322,0.379,0.701,0.0734528629,0.132446501,0.016194332,0.321428571
2727ChrisC BandoBandoC2727???,498,1284,134,292,46,2,27,142,138,197,1,5,0.227,0.3,0.329,0.629,0.0970464135,0.138537271,0.00421940928,0.166666667
2727BenB PetrickPetrickC2727???,240,669,114,172,37,5,27,94,78,177,5,6,0.257,0.336,0.448,0.784,0.104417671,0.236947791,0.0147255689,0.454545455
2727FredF CarrollCarrollC2727???,754,2892,546,820,146,66,27,366,348,136,137,--,0.284,0.37,0.408,0.778,0.107407407,0.0419753086,#VALUE!,#VALUE!
2727JerryJ McNertneyMcNertneyC2727???,590,1423,129,337,51,6,27,163,119,199,3,5,0.237,0.298,0.338,0.636,0.0771725032,0.129053178,0.00518806744,0.375
2727TracyT JonesJonesLF2727???,493,1303,173,356,56,6,27,164,100,140,62,19,0.273,0.329,0.388,0.717,0.0712758375,0.0997861725,0.0577334284,0.765432099
2727BobB KearneyKearneyC2727???,479,1356,131,316,66,3,27,133,67,235,9,12,0.233,0.274,0.346,0.62,0.0470836261,0.165144062,0.0147575545,0.428571429
2727FredF LewisLewisLF2727???,535,1562,261,415,91,21,27,136,170,390,53,23,0.266,0.344,0.403,0.747,0.0981524249,0.22517321,0.0438799076,0.697368421
2727RubeR OldringOldringOF2727???,1239,4690,616,1268,205,76,27,471,206,125,197,22,0.27,0.307,0.364,0.671,0.0420751634,0.0255310458,0.0447303922,0.899543379
2727KurtK BevacquaBevacqua3B2727???,970,2117,214,499,90,11,27,275,221,329,12,20,0.236,0.305,0.327,0.632,0.0945252352,0.140718563,0.0136869119,0.375
2727RenoR BertoiaBertoia3B2727???,612,1745,204,425,60,10,27,171,142,252,16,15,0.244,0.303,0.336,0.639,0.0752517223,0.13354531,0.0164281929,0.516129032
2727EmmettE SeerySeeryLF2727???,916,3547,695,893,152,68,27,300,471,426,240,--,0.252,0.345,0.356,0.701,0.117222499,0.106022897,#VALUE!,#VALUE!
2727KennyK WilliamsWilliamsCF2727???,451,1154,136,252,42,8,27,119,56,290,49,25,0.218,0.269,0.339,0.608,0.0462809917,0.239669421,0.0611570248,0.662162162
2727JodyJ ReedReed2B2727???,1284,4554,566,1231,263,10,27,392,542,407,40,44,0.27,0.349,0.35,0.699,0.106357928,0.079866562,0.0164835165,0.476190476
2727MattM McLainMcLain2B2727???,208,788,124,199,36,4,27,90,75,246,30,7,0.253,0.325,0.411,0.736,0.0869061414,0.285052144,0.0428736964,0.810810811
2727GuillermoG HerediaHerediaLF2727???,591,1388,179,320,75,2,27,114,130,313,7,12,0.231,0.31,0.346,0.656,0.0856389987,0.206192358,0.012516469,0.368421053
2727WesW SchulmerichSchulmerichRF2727???,429,1442,169,417,73,20,27,192,118,197,7,--,0.289,0.347,0.424,0.771,0.0756410256,0.126282051,#VALUE!,#VALUE!
2727JoeJ NolanNolanC2727???,621,1454,156,382,66,10,27,178,164,183,7,8,0.263,0.336,0.378,0.714,0.101359703,0.113102596,0.00927070457,0.466666667
2727RussR NixonNixonC2727???,906,2504,215,670,115,19,27,266,154,279,0,7,0.268,0.31,0.361,0.671,0.0579382995,0.10496614,0.00263355907,0
2727LennyL RandleRandle3B2727???,1138,3950,488,1016,145,40,27,322,372,505,156,112,0.257,0.321,0.335,0.656,0.0860712633,0.116844054,0.0620083295,0.582089552
2727RichardR HoblitzellHoblitzell1B2727???,1319,4706,591,1310,194,88,27,593,407,256,173,26,0.278,0.341,0.374,0.715,0.079601017,0.050068453,0.038920399,0.869346734
2727MikeM FontenotFontenot2B2727???,582,1413,175,374,86,13,27,163,140,289,17,11,0.265,0.332,0.401,0.733,0.0901481005,0.186091436,0.0180296201,0.607142857
2727EdouardE JulienJulien2B2727???,249,740,105,168,31,1,27,68,112,275,9,2,0.227,0.331,0.381,0.712,0.131455399,0.322769953,0.0129107981,0.818181818
2727HarryH SteinfeldtSteinfeldt3B2727???,1647,5896,758,1576,284,90,27,762,471,32,194,--,0.267,0.33,0.36,0.69,0.0739751845,0.00502591487,#VALUE!,#VALUE!
2727DickD DavisDavisDH2727???,403,1217,160,323,62,7,27,141,50,152,13,13,0.265,0.294,0.394,0.688,0.0394632991,0.119968429,0.0205209155,0.5
2727MikeM TysonTyson2B2727???,1017,2959,281,714,118,28,27,269,175,411,23,18,0.241,0.285,0.327,0.612,0.0558391832,0.13114231,0.0130823229,0.56097561
2727CoakerC TriplettTriplettOF2727???,471,1307,148,334,47,14,27,173,123,114,10,--,0.256,0.32,0.375,0.695,0.086013986,0.0797202797,#VALUE!,#VALUE!
2727AlexA KirilloffKirilloffLF2727???,249,799,92,198,40,5,27,116,62,215,2,1,0.248,0.309,0.412,0.721,0.0720092915,0.24970964,0.00348432056,0.666666667
2727CecilC TravisTravisSS2727???,1328,4914,665,1544,265,78,27,657,402,291,23,32,0.314,0.37,0.416,0.786,0.0756207675,0.0547404063,0.0103461249,0.418181818
2727JimJ TraberTraber1B2727???,264,819,70,186,21,0,27,117,58,118,5,5,0.227,0.279,0.352,0.631,0.0661345496,0.134549601,0.0114025086,0.5
2727FelixF TorresTorres3B2727???,365,1191,109,302,61,5,27,153,71,202,2,3,0.254,0.297,0.381,0.678,0.0562599049,0.160063391,0.00396196513,0.4
2727ScottS StahoviakStahoviak1B2727???,344,1019,135,261,70,3,27,119,116,277,13,8,0.256,0.335,0.41,0.745,0.102202643,0.244052863,0.0185022026,0.619047619
2727RayR GrimesGrimes1B2727???,433,1537,269,505,101,25,27,263,204,133,21,17,0.329,0.413,0.48,0.893,0.117174038,0.0763928777,0.0218265365,0.552631579
2727CheslorC CuthbertCuthbert3B2727???,323,1077,100,269,53,2,27,119,75,234,3,1,0.25,0.3,0.378,0.678,0.0651041667,0.203125,0.00347222222,0.75
2727JackJ GlasscockGlasscockSS2727???,1736,7030,1163,2040,313,98,27,825,439,212,372,--,0.29,0.337,0.374,0.711,0.0587762753,0.0283839871,#VALUE!,#VALUE!
2727MasatakaM YoshidaYoshidaLF2727???,279,1018,121,285,60,3,27,141,66,152,12,0,0.28,0.337,0.424,0.761,0.0608856089,0.140221402,0.0110701107,1
2727U LU WashingtonWashingtonSS2727???,907,2797,358,703,103,36,27,255,261,409,132,53,0.251,0.313,0.343,0.656,0.0853499019,0.133747547,0.0604970569,0.713513514
2727DaveD BrainBrain3B2727???,676,2543,254,641,97,52,27,303,134,,73,--,0.252,0.292,0.363,0.655,0.0500560329,0,#VALUE!,#VALUE!
2727Candy JimC. TaylorTaylorX2727???,410,902,131,266,35,8,27,166,91,,35,--,0.295,0.363,0.441,0.804,0.0916414904,0,#VALUE!,#VALUE!
2727LarryL GardnerGardner3B2727???,1930,6688,867,1931,301,129,27,934,654,282,165,68,0.289,0.355,0.384,0.739,0.0890765459,0.0384091528,0.031735222,0.708154506
2727RedR SmithSmith3B2727???,1117,3907,477,1087,208,49,27,514,420,415,117,5,0.278,0.353,0.377,0.73,0.0970649411,0.0959094061,0.0281950543,0.959016393
2727DarrenD LewisLewisCF2727???,1354,4081,607,1021,137,37,27,342,403,514,247,107,0.25,0.323,0.322,0.645,0.0898751115,0.114629795,0.0789473684,0.697740113
2727FranchyF CorderoCorderoOF2727???,251,722,100,157,37,5,27,87,66,278,13,5,0.217,0.283,0.395,0.678,0.0837563452,0.352791878,0.0228426396,0.722222222
2727RandyR MooreMooreRF2727???,751,2253,258,627,110,17,27,308,158,85,11,1,0.278,0.326,0.378,0.704,0.0655329739,0.0352550809,0.00497718789,0.916666667
2727AndresA MoraMoraLF2727???,235,700,71,156,27,2,27,83,31,149,1,1,0.223,0.256,0.383,0.639,0.0424076607,0.203830369,0.00273597811,0.5
2727RayR. BrownBrownP2727???,469,1277,198,341,73,22,27,202,125,1,10,0,0.267,0.333,0.422,0.755,0.0891583452,0.000713266762,0.00713266762,1
2727LloydL WanerWanerCF2727???,1993,7772,1201,2459,281,118,27,598,420,173,67,--,0.316,0.353,0.393,0.746,0.0512695313,0.0211181641,#VALUE!,#VALUE!
2727ErnieE YoungYoungCF2727???,288,796,108,179,33,4,27,90,90,213,10,11,0.225,0.31,0.378,0.688,0.101580135,0.240406321,0.0237020316,0.476190476
2727ArlieA LathamLatham3B2727???,1627,6822,1478,1833,245,85,27,563,588,240,739,--,0.269,0.334,0.341,0.675,0.0793522267,0.032388664,#VALUE!,#VALUE!
2727PatsyP TebeauTebeau1B2727???,1167,4618,671,1290,196,57,27,735,319,198,164,--,0.279,0.332,0.364,0.696,0.0646141381,0.0401053271,#VALUE!,#VALUE!
2727MikeM MitchellMitchellRF2727???,1125,4095,514,1138,130,104,27,514,368,216,202,7,0.278,0.34,0.38,0.72,0.0824557473,0.0483979386,0.0468294869,0.966507177
2727Steel ArmS. DavisDavisX2727???,480,1554,254,499,88,38,27,295,119,,41,--,0.321,0.375,0.479,0.854,0.0711297071,0,#VALUE!,#VALUE!
2727ClydeC BarnhartBarnhartLF2727???,814,2673,404,788,121,61,27,436,265,149,35,21,0.295,0.36,0.416,0.776,0.0901974132,0.050714772,0.0190605854,0.625
2727HoraceH ClarkeClarke2B2727???,1272,4813,548,1230,150,23,27,304,365,362,151,58,0.256,0.308,0.313,0.621,0.0704905369,0.0699111626,0.0403630745,0.722488038
2727SibbyS SistiSisti2B2727???,1016,2999,401,732,121,19,27,260,283,440,30,5,0.244,0.313,0.324,0.637,0.0862279098,0.134064595,0.0106642291,0.857142857
2727TonyT BoeckelBoeckel3B2727???,777,2880,372,813,130,36,27,337,237,218,90,46,0.282,0.339,0.381,0.72,0.0760346487,0.069939044,0.0436316971,0.661764706
2727RalphR LaCockLaCock1B2727???,715,1729,214,444,86,11,27,224,182,171,8,8,0.257,0.326,0.366,0.692,0.0952380952,0.0894819466,0.0083725798,0.5
2727KenK HarveyHarvey1B2727???,271,998,102,273,54,1,27,126,60,200,3,5,0.274,0.322,0.411,0.733,0.056710775,0.189035917,0.00756143667,0.375
2727MikeM CarpCarp1B2727???,318,887,97,225,51,5,27,127,90,243,2,3,0.254,0.33,0.414,0.744,0.0921187308,0.248720573,0.00511770727,0.4
2727NickN KurtzKurtz1B2727???,92,329,67,101,23,2,27,70,51,114,2,1,0.307,0.398,0.635,1.033,0.134210526,0.3,0.00789473684,0.666666667
2787TimoT PerezPerezCF2787???,603,1671,187,449,91,10,26,185,92,159,23,23,0.269,0.308,0.382,0.69,0.0521837777,0.0901871809,0.0260918888,0.5
2787GeneG RichardsRichardsLF2787???,1026,3549,502,1028,127,63,26,255,356,436,247,89,0.29,0.357,0.383,0.74,0.0911651729,0.111651729,0.0860435339,0.735119048
2787JoeJ VitielloVitiello1B2787???,282,693,76,172,35,1,26,104,80,165,2,0,0.248,0.335,0.414,0.749,0.103492885,0.213454075,0.00258732212,1
2787EricE OwensOwensRF2787???,806,2353,305,621,86,16,26,214,182,284,126,48,0.264,0.318,0.347,0.665,0.0717948718,0.112031558,0.0686390533,0.724137931
2787KyleK LewisLewisOF2787???,146,514,70,121,14,0,26,59,61,177,7,1,0.235,0.317,0.414,0.731,0.106086957,0.307826087,0.0139130435,0.875
2787MartyM SullivanSullivanLF2787???,398,1618,280,441,56,32,26,220,162,168,99,--,0.273,0.341,0.395,0.736,0.091011236,0.0943820225,#VALUE!,#VALUE!
2787MannyM JimenezJimenezLF2787???,429,1003,90,273,43,4,26,144,75,97,0,2,0.272,0.337,0.401,0.738,0.0695732839,0.0899814471,0.00185528757,0
2787TomT McCreeryMcCreeryRF2787???,800,2951,464,855,99,76,26,387,308,73,116,--,0.29,0.359,0.401,0.76,0.0945075176,0.0223995091,#VALUE!,#VALUE!
2787WoodyW JensenJensenLF2787???,738,2720,392,774,114,37,26,235,69,100,20,--,0.285,0.307,0.382,0.689,0.0247400502,0.0358551452,#VALUE!,#VALUE!
2787HalH JeffcoatJeffcoatP2787???,918,1963,249,487,95,18,26,188,114,289,49,7,0.248,0.291,0.355,0.646,0.054886856,0.139142995,0.0269619644,0.875
2787EddieE MayoMayo2B2787???,834,3013,350,759,119,16,26,287,257,175,29,38,0.252,0.313,0.328,0.641,0.0785932722,0.0535168196,0.0204892966,0.432835821
2787EstebanE. MontalvoMontalvoX2787???,215,781,127,217,40,16,26,171,82,,12,--,0.278,0.354,0.47,0.824,0.0950173812,0,#VALUE!,#VALUE!
2787MiguelM VargasVargas3B2787???,290,948,130,192,53,6,26,104,114,216,11,3,0.203,0.293,0.353,0.646,0.107344633,0.203389831,0.0131826742,0.785714286
2787DickD BuckleyBuckleyC2787???,524,1833,213,449,72,14,26,216,98,188,25,--,0.245,0.291,0.342,0.633,0.0507509063,0.0973588814,#VALUE!,#VALUE!
2787?scar? MercadoMercadoRF2787???,298,890,123,211,46,5,26,100,60,186,29,8,0.237,0.289,0.388,0.677,0.0631578947,0.195789474,0.0389473684,0.783783784
2787DonnieD HillHill2B2787???,756,2307,276,594,91,14,26,228,175,225,22,11,0.257,0.308,0.343,0.651,0.0705076551,0.0906526994,0.0132957293,0.666666667
2787MikeM HershbergerHershbergerRF2787???,1150,3572,398,900,150,22,26,344,319,311,74,36,0.252,0.316,0.328,0.644,0.0819840658,0.0799280391,0.0282703675,0.672727273
2787BillB. PerkinsPerkinsX2787???,509,1666,233,463,63,28,26,275,127,1,20,--,0.278,0.332,0.396,0.728,0.0708310095,0.000557724484,#VALUE!,#VALUE!
2787BobbyB BrownBrownLF2787???,502,1277,183,313,38,12,26,130,94,238,110,34,0.245,0.295,0.355,0.65,0.0685630926,0.173595915,0.105032823,0.763888889
2787TedT. StrongStrongX2787???,269,892,201,295,50,15,26,191,144,1,30,0,0.331,0.436,0.508,0.944,0.138996139,0.000965250965,0.028957529,1
2787HeinieH GrohGroh3B2787???,1676,6074,918,1774,308,87,26,566,696,345,180,66,0.292,0.373,0.384,0.757,0.102806499,0.0509601182,0.0363367799,0.731707317
2787PerryP WerdenWerden1B2787???,693,2740,444,773,109,87,26,439,281,140,150,--,0.282,0.359,0.414,0.773,0.0930155578,0.0463422708,#VALUE!,#VALUE!
2787RogerR BresnahanBresnahanC2787???,1447,4481,682,1252,218,71,26,530,714,99,212,3,0.279,0.386,0.377,0.763,0.137439846,0.0190567854,0.041385948,0.986046512
2787ValV PicinichPicinichC2787???,1038,2877,298,743,166,26,26,298,314,382,31,9,0.258,0.334,0.361,0.695,0.0984017549,0.119711689,0.0125352554,0.775
