PLAYERPLAYER,G,AB,R ,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,,,,
107Jos?J BautistaBautistaRF107???,1798,6051,1022,1496,312,17,344,975,1032,1394,70,32,0.247,0.361,0.475,0.836,0.145700974,0.196809262,0.0144006777,0.68627451
107CurtisC GrandersonGrandersonCF107???,2057,7236,1217,1800,346,95,344,937,924,1916,153,50,0.249,0.337,0.465,0.802,0.113235294,0.234803922,0.024877451,0.753694581
109RonR SantoSanto3B109???,2243,8143,1138,2254,365,67,342,1331,1109,1343,35,41,0.277,0.362,0.464,0.826,0.119865975,0.145157804,0.00821444012,0.460526316
109EvanE LongoriaLongoria3B109???,1986,7306,1017,1930,431,26,342,1159,730,1696,58,19,0.264,0.333,0.471,0.804,0.0908412145,0.211050274,0.00958188153,0.753246753
111JackJ ClarkClarkRF111???,1994,6847,1118,1826,332,39,340,1180,1262,1442,77,61,0.267,0.379,0.476,0.855,0.155629547,0.177827106,0.017018128,0.557971014
112DaveD ParkerParkerRF112???,2466,9358,1272,2712,526,75,339,1493,683,1537,154,113,0.29,0.339,0.471,0.81,0.0680211134,0.153072403,0.026590977,0.576779026
112BoogB PowellPowell1B112???,2042,6681,889,1776,270,11,339,1187,1001,1226,20,21,0.266,0.361,0.462,0.823,0.130304608,0.159593856,0.00533715178,0.487804878
112TinoT MartinezMartinez1B112???,2023,7111,1009,1925,365,21,339,1271,780,1069,27,20,0.271,0.344,0.471,0.815,0.0988467875,0.13547079,0.00595615258,0.574468085
115DonD BaylorBaylorDH115???,2292,8198,1236,2135,366,28,338,1276,805,1069,285,120,0.26,0.342,0.436,0.778,0.0894146396,0.118738198,0.044985005,0.703703704
116JoeJ AdcockAdcock1B116???,1959,6606,823,1832,295,35,336,1122,594,1059,20,25,0.277,0.337,0.485,0.822,0.0825,0.147083333,0.00625,0.444444444
117DarrylD StrawberryStrawberryOF117???,1583,5418,898,1401,256,38,335,1000,816,1352,221,99,0.259,0.357,0.505,0.862,0.130895091,0.216875201,0.0513314084,0.690625
117RobinsonR Can?Can?2B117???,2267,8773,1262,2639,572,33,335,1306,620,1214,51,38,0.301,0.351,0.488,0.839,0.0660066007,0.129245183,0.00947514106,0.573033708
117CarlosC SantanaSantana1B117???,2196,7796,1107,1878,403,17,335,1134,1330,1535,65,18,0.241,0.352,0.426,0.778,0.145737453,0.168200745,0.00909489371,0.78313253
120MoisesM AlouAlouLF120???,1942,7037,1109,2134,421,39,332,1287,737,894,106,37,0.303,0.369,0.516,0.885,0.0948031901,0.114998714,0.0183946488,0.741258741
120BobbyB BondsBondsRF120???,1849,7043,1258,1886,302,66,332,1024,914,1757,461,169,0.268,0.353,0.471,0.824,0.114867412,0.220811864,0.0791755687,0.731746032
122DerrekD LeeLee1B122???,1942,6962,1081,1959,432,30,331,1078,874,1622,104,48,0.281,0.365,0.495,0.86,0.111536498,0.206993364,0.0193976519,0.684210526
