PLAYERPLAYER,AB,BB,SO,SB,CS,AVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
41VladimirV GuerreroGuerreroRF41???,8155,737,985,181,94,0.318,0.082883491,0.110773729,0.030926676,0.658181818,csv
43GiancarloG StantonStantonDH43???,6188,795,2019,42,15,0.259,0.113847916,0.289130746,0.008162681,0.736842105,csv
44DaveD KingmanKingman1B44???,6677,608,1816,85,49,0.236,0.083459163,0.249279341,0.01839396,0.634328358,csv
45JasonJ GiambiGiambi1B45???,7267,1366,1572,20,12,0.277,0.158230047,0.182091973,0.003706707,0.625,csv
46PaulP KonerkoKonerko1B46???,8393,921,1391,9,4,0.279,0.098883401,0.149345072,0.001395748,0.692307692,csv
47AndreA DawsonDawsonRF47???,9927,589,1509,314,109,0.279,0.05600989,0.143495626,0.04022442,0.742316785,csv
48CarlosC Beltr?nBeltr?nCF48???,9768,1084,1795,312,49,0.279,0.099889421,0.165407298,0.033265757,0.864265928,csv
49AndruwA JonesJonesCF49???,7599,891,1748,152,59,0.254,0.104946996,0.205889282,0.024852768,0.720379147,csv
49JuanJ GonzalezGonzalezRF49???,6556,457,1273,26,19,0.295,0.065164694,0.181520034,0.006416655,0.577777778,csv
51CalC Ripken Jr.RipkenSS51???,11551,1129,1305,36,39,0.276,0.089037855,0.102917981,0.005914826,0.48,csv
52MikeM PiazzaPiazzaC52???,6911,759,1113,17,20,0.308,0.098956975,0.145110821,0.00482399,0.459459459,csv
53BillyB WilliamsWilliamsOF53???,9350,1045,1046,90,49,0.29,0.100529101,0.100625301,0.013371813,0.647482014,csv
54EdwinE Encarnaci?nEncarnaci?nDH54???,7040,903,1426,61,14,0.26,0.113685006,0.179529145,0.009442276,0.813333333,csv
55DarrellD EvansEvans3B55???,8973,1605,1410,99,68,0.248,0.151730006,0.133295519,0.015787483,0.592814371,csv
56AlfonsoA SorianoSorianoLF56???,7750,496,1803,289,84,0.27,0.060150376,0.218651467,0.045234053,0.774798928,csv
57MarkM TeixeiraTeixeira1B57???,6936,918,1441,26,7,0.268,0.116883117,0.183473389,0.004201681,0.787878788,csv
58DukeD SniderSniderCF58???,7161,971,1237,99,50,0.295,0.11940482,0.152115101,0.018322676,0.66442953,csv
59AlA KalineKalineRF59???,10116,1277,1020,137,65,0.297,0.112086369,0.089528658,0.017730185,0.678217822,csv
59AndresA GalarragaGalarraga1B59???,8096,583,2003,128,81,0.288,0.067173638,0.230786957,0.024081115,0.612440191,csv
61MikeM TroutTroutRF61???,5873,1052,1622,214,38,0.295,0.151913357,0.234223827,0.036389892,0.849206349,csv
61DaleD MurphyMurphyCF61???,7960,986,1748,161,68,0.265,0.110216857,0.19539459,0.025598033,0.703056769,csv
63JoeJ CarterCarterLF63???,8422,527,1387,231,66,0.259,0.058889261,0.154989384,0.033188066,0.777777778,csv
64JimJ EdmondsEdmondsCF64???,6858,998,1729,67,50,0.284,0.12703666,0.220086558,0.014893075,0.572649573,csv
